NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,18/02/2021
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
OMEGA GER,NM,03/03/2021,,03/03/2021,,30/04/2021,,31/05/2021,,,,17/05/2021,,16/08/2021,,12/11/2021,,04/03/2021,,18/05/2021,,17/08/2021,,16/11/2021,,,,
ORIZON,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,06/04/2021,,21/05/2021,,20/08/2021,,22/11/2021,,,,
OSX BRASIL,NM,30/03/2021,,30/03/2021,,30/04/2021,,27/05/2021,,,,13/05/2021,,13/08/2021,,12/11/2021,,02/04/2021,,18/05/2021,,18/08/2021,,17/11/2021,,,,
OUROFINO S/A,NM,04/03/2021,,04/03/2021,,09/04/2021,,16/04/2021,,,,06/05/2021,,05/08/2021,,11/11/2021,,05/03/2021,,07/05/2021,,06/08/2021,,12/11/2021,,,,
P.ACUCAR-CBD,NM,23/02/2021,,23/02/2021,,28/04/2021,,31/05/2021,,,,11/05/2021,,27/07/2021,,09/11/2021,,24/02/2021,29/01/2021,12/05/2021,,28/07/2021,,10/11/2021,,,,
PAGUE MENOS,NM,01/03/2021,,01/03/2021,,12/04/2021,,31/05/2021,,,,03/05/2021,,02/08/2021,,03/11/2021,,02/03/2021,,04/05/2021,,03/08/2021,,04/11/2021,,,,
PARANAPANEMA,NM,04/03/2021,,04/03/2021,,29/04/2021,,31/05/2021,,,,29/04/2021,,30/07/2021,,28/10/2021,,05/03/2021,,30/04/2021,,02/08/2021,,29/10/2021,,,,
PDG REALT,NM,26/03/2021,,26/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,29/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
PETROBRAS,N2,24/02/2021,,24/02/2021,,14/04/2021,,31/05/2021,,07/12/2021,,29/04/2021,,29/07/2021,,28/10/2021,,,,,,,,,,,,
PETROBRAS BR,NM,09/03/2021,,09/03/2021,,14/04/2021,,31/05/2021,,,,11/05/2021,,10/08/2021,,09/11/2021,,10/03/2021,,12/05/2021,,11/08/2021,,10/11/2021,,,,
PETRORIO,NM,01/03/2021,,01/03/2021,,15/04/2021,,30/04/2021,,,,03/05/2021,,02/08/2021,,03/11/2021,,02/03/2021,,04/05/2021,,03/08/2021,,04/11/2021,,,,
PETZ,NM,08/03/2021,,08/03/2021,,30/04/2021,,31/05/2021,,,,17/05/2021,,16/08/2021,,16/11/2021,,09/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
PINE,N2,10/02/2021,,10/02/2021,10/02/2021,30/04/2021,,31/05/2021,,01/12/2021,11/02/2021,12/05/2021,,11/08/2021,,10/11/2021,,,,,,,,,,,,
PLANOEPLANO,NM,18/03/2021,,18/03/2021,,27/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,08/01/2021,14/05/2021,,13/08/2021,,12/11/2021,,,,
POMIFRUTAS,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,16/11/2021,,05/04/2021,,21/05/2021,,20/08/2021,,23/11/2021,,,,
PORTO SEGURO,NM,08/02/2021,,08/02/2021,08/02/2021,31/03/2021,,28/05/2021,,,,03/05/2021,,02/08/2021,,05/11/2021,,10/02/2021,,05/05/2021,,04/08/2021,,09/11/2021,,,,
PORTOBELLO,NM,25/03/2021,,25/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,01/11/2021,,26/03/2021,,18/05/2021,,17/08/2021,,02/11/2021,,,,
POSITIVO TEC,NM,15/03/2021,,15/03/2021,,30/04/2021,,28/05/2021,,,,12/05/2021,,12/08/2021,,10/11/2021,,16/03/2021,,13/05/2021,,13/08/2021,,11/11/2021,,,,
PRATICA,M2,31/03/2021,,31/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
PRINER,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,01/04/2021,,18/05/2021,,17/08/2021,,16/11/2021,,,,
PROFARMA,NM,16/03/2021,,16/03/2021,,28/04/2021,,26/05/2021,,,,05/05/2021,,04/08/2021,,08/11/2021,,17/03/2021,,06/05/2021,,05/08/2021,,09/11/2021,,,,
QUALICORP,NM,23/03/2021,,23/03/2021,,30/04/2021,,31/05/2021,,,,04/05/2021,,03/08/2021,,04/11/2021,,24/03/2021,,05/05/2021,,04/08/2021,,05/11/2021,,,,
QUALITY SOFT,MA,31/03/2021,,31/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
QUERO-QUERO,NM,03/03/2021,,03/03/2021,,28/04/2021,,31/05/2021,,,,05/05/2021,,04/08/2021,,08/11/2021,,04/03/2021,,06/05/2021,,05/08/2021,,09/11/2021,,,,
RAIADROGASIL,NM,09/03/2021,,09/03/2021,,22/04/2021,,31/05/2021,,,,11/05/2021,,10/08/2021,,09/11/2021,,10/03/2021,,12/05/2021,,11/08/2021,,10/11/2021,,,,
RANDON PART,N1,04/03/2021,,04/03/2021,,14/04/2021,,31/05/2021,,05/03/2021,,13/05/2021,,10/08/2021,,11/11/2021,,,,,,,,,,,,
REDE D OR,NM,24/02/2021,,24/02/2021,,30/04/2021,,31/05/2021,,,,17/05/2021,,16/08/2021,,16/11/2021,,25/02/2021,28/01/2021,18/05/2021,,17/08/2021,,17/11/2021,,,,
RENOVA,N2,30/03/2021,,30/03/2021,,30/04/2021,,30/05/2021,,01/12/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
RNI,NM,11/03/2021,,11/03/2021,,23/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,12/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ROSSI RESID,NM,17/03/2021,,17/03/2021,,29/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,18/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
